CAR_SELL_NO,CAR_ID,CAR_SELL_EA,CAR_SELL_PRICE,CAR_SELL_DATE,,,CAR_ID,CAR_NAME,CAR_MAKER,CAR_MAKE_YEAR,CAR_PRICE
1,P569221521,11,588951,2023-11-26,,,I422348862,Sebring,Chrysler,1998,95027
2,E439425680,8,742328,2023-08-18,,,N343526889,Caliber,Dodge,2011,41866
3,V230132362,30,1554630,2023-08-08,,,U571986282,H1,Hummer,2001,13830
4,Q766971885,26,908596,2023-01-10,,,Z900456153,Town Car,Lincoln,1997,57399
5,A452880887,2,26234,2023-06-20,,,L065474930,XC70,Volvo,2004,39353
6,V976011513,4,353224,2023-12-20,,,K470892417,C-Class,Mercedes-Benz,2007,17052
7,B405089269,17,1631320,2023-02-25,,,D064426196,Grand Caravan,Dodge,1999,62780
8,U951547738,27,1615221,2023-08-25,,,E054956624,RX-8,Mazda,2005,46552
9,I287499056,23,1974665,2023-05-16,,,E660005754,Astro,Chevrolet,1999,18492
10,B980619690,25,1521725,2023-10-05,,,H237881012,California,Ferrari,2009,58789
11,Q753858224,23,2004841,2023-08-22,,,C633404888,Highlander,Toyota,2005,18476
12,X889246355,28,1924468,2023-07-20,,,T028924690,Safari,GMC,1992,86226
13,I856285533,29,2785160,2023-04-25,,,B484257659,Maxima,Nissan,1990,28082
14,X131004086,1,59176,2023-02-15,,,G516987560,Riviera,Buick,1989,99281
15,C692656818,29,363283,2023-10-15,,,P940910126,Dakota,Dodge,2006,82561
16,Z506577709,23,451743,2023-12-28,,,K355649848,Neon,Plymouth,2000,98577
17,F480006937,14,1156106,2023-04-25,,,H126863580,Elise,Lotus,2004,35714
18,W215461434,26,2306746,2023-10-21,,,O985700236,Acadia,GMC,2007,92021
19,S513001278,15,971925,2023-12-03,,,Y257746766,Edge,Ford,2007,10799
20,Q186361741,26,1338948,2023-09-18,,,S864116125,Cougar,Mercury,1994,25105
21,W976725699,14,973294,2023-07-08,,,H905617007,Viper,Dodge,1998,76612
22,Y182660926,15,935715,2023-01-08,,,L089378292,A4,Audi,1998,84275
23,W667463011,8,552904,2023-11-20,,,X581279438,300SE,Mercedes-Benz,1993,74105
24,O458732744,21,1437324,2023-04-15,,,W336315175,Quest,Nissan,1994,98795
25,Z835518442,24,1603752,2023-11-13,,,E962969762,Grand Am,Pontiac,1988,48802
26,P536025382,22,324478,2023-10-28,,,D295292814,Express 1500,Chevrolet,2007,12732
27,N392819870,9,858420,2023-05-13,,,S255811793,Ram 1500,Dodge,1998,12429
28,C676921197,15,185265,2023-06-24,,,E499740364,Vision,Eagle,1997,79885
29,E455667323,15,540885,2023-04-07,,,V584082770,Astra,Saturn,2009,3489
30,C392903721,19,1847123,2023-11-14,,,Y003939970,Cube,Nissan,2012,68280
31,C291173995,22,488224,2023-02-13,,,X331394143,Frontier,Nissan,2004,25093
32,H905617007,14,1072568,2023-12-06,,,S337412274,Blazer,Chevrolet,2002,29583
33,S720565277,23,1454543,2023-12-08,,,W239757852,Safari,GMC,2003,49549
34,U828265421,24,1952520,2023-07-17,,,F490375577,Charger,Dodge,2006,88736
35,K648253971,24,2037072,2023-09-26,,,I476126759,Spider,Alfa Romeo,1993,85567
36,N335389271,11,1020305,2023-12-28,,,L440506770,Gran Sport,Maserati,2006,34781
37,K956424091,18,459504,2023-12-19,,,F480006937,98,Oldsmobile,1994,82579
38,H669884465,14,438312,2023-11-06,,,H433910994,Tundra,Toyota,2001,80166
39,G440036261,15,960090,2023-03-16,,,V067743277,CTS,Cadillac,2005,99066
40,H931881461,19,1522375,2023-04-06,,,M928301842,Rio,Kia,2004,84149
41,Q794367626,30,1630680,2023-03-21,,,P008456631,Cavalier,Chevrolet,2005,11840
42,N101035737,16,1046544,2023-01-11,,,N380701156,Pathfinder,Nissan,2012,94342
43,O985700236,18,1656378,2023-08-12,,,Q653675753,4Runner,Toyota,1995,74391
44,S668098910,5,92250,2023-05-01,,,C637282030,xD,Scion,2010,47083
45,I476126759,27,2310309,2023-11-20,,,N588786186,TL,Acura,2000,83565
46,E710199367,15,1384275,2023-10-21,,,V628891543,Ion,Saturn,2004,48293
47,R997976567,2,118652,2023-10-02,,,A504508671,Pathfinder,Nissan,2000,60111
48,B211972168,1,69061,2023-07-07,,,F987013276,IS,Lexus,2010,29599
49,D295292814,21,267372,2023-08-21,,,N928648923,Mustang,Ford,1980,39644
