제품번호,제품명,제조사번호,금액
P00001,삼성_제품_1,2,110000
P00002,삼성_제품_2,3,120000
P00003,삼성_제품_3,4,130000
P00004,삼성_제품_4,5,140000
P00005,삼성_제품_5,1,150000
P00006,삼성_제품_6,2,160000
P00007,삼성_제품_7,3,170000
P00008,삼성_제품_8,4,180000
P00009,삼성_제품_9,5,190000
P00010,삼성_제품_10,1,200000
P00011,애플_제품_11,2,210000
P00012,애플_제품_12,3,220000
P00013,애플_제품_13,4,230000
P00014,애플_제품_14,5,240000
P00015,애플_제품_15,1,250000
P00016,애플_제품_16,2,260000
P00017,애플_제품_17,3,270000
P00018,애플_제품_18,4,280000
P00019,애플_제품_19,5,290000
P00020,애플_제품_20,1,300000
P00021,엘지_제품_21,2,310000
P00022,엘지_제품_22,3,320000
P00023,엘지_제품_23,4,330000
P00024,엘지_제품_24,5,340000
P00025,엘지_제품_25,1,350000
P00026,엘지_제품_26,2,360000
P00027,엘지_제품_27,3,370000
P00028,엘지_제품_28,4,380000
P00029,엘지_제품_29,5,390000
P00030,엘지_제품_30,1,400000
P00031,소니_제품_31,2,410000
P00032,소니_제품_32,3,420000
P00033,소니_제품_33,4,430000
P00034,소니_제품_34,5,440000
P00035,소니_제품_35,1,450000
P00036,소니_제품_36,2,460000
P00037,소니_제품_37,3,470000
P00038,소니_제품_38,4,480000
P00039,소니_제품_39,5,490000
P00040,소니_제품_40,1,500000
P00041,캐논_제품_41,2,510000
P00042,캐논_제품_42,3,520000
P00043,캐논_제품_43,4,530000
P00044,캐논_제품_44,5,540000
P00045,캐논_제품_45,1,550000
P00046,캐논_제품_46,2,560000
P00047,캐논_제품_47,3,570000
P00048,캐논_제품_48,4,580000
P00049,캐논_제품_49,5,590000
P00050,캐논_제품_50,1,600000
