CAR_ID,CAR_NAME,CAR_MAKER,CAR_MAKE_YEAR,CAR_PRICE
A000000001,SUV,Ford,2011,78563
A000000002,Pickup,Honda,2000,93815
A000000003,Hybrid,Audi,1992,67389
A000000004,Sports Car,Toyota,1999,91611
A000000005,Coupe,Ford,2012,78837
A000000006,Convertible,Honda,2020,83563
A000000007,SUV,Tesla,2024,97873
A000000008,Electric,Chevrolet,2010,55027
A000000009,Van,Hyundai,1997,88556
A000000010,Sports Car,Honda,2021,92697
A000000011,SUV,Ford,2011,78563
A000000012,Pickup,Honda,2000,93815
A000000013,Hybrid,Audi,1992,67389
A000000014,Sports Car,Toyota,1999,91611
A000000015,Coupe,Ford,2012,78837
A000000016,Convertible,Honda,2020,83563
A000000017,SUV,Tesla,2024,97873
A000000018,Electric,Chevrolet,2010,55027
A000000019,Van,Hyundai,1997,88556
A000000020,Sports Car,Honda,2021,92697
A000000021,SUV,Ford,2011,78563
A000000022,Pickup,Honda,2000,93815
A000000023,Hybrid,Audi,1992,67389
A000000024,Sports Car,Toyota,1999,91611
A000000025,Coupe,Ford,2012,78837
A000000026,Convertible,Honda,2020,83563
A000000027,SUV,Tesla,2024,97873
A000000028,Electric,Chevrolet,2010,55027
A000000029,Van,Hyundai,1997,88556
A000000030,Sports Car,Honda,2021,92697
A000000031,SUV,Ford,2011,78563
A000000032,Pickup,Honda,2000,93815
A000000033,Hybrid,Audi,1992,67389
A000000034,Sports Car,Toyota,1999,91611
A000000035,Coupe,Ford,2012,78837
A000000036,Convertible,Honda,2020,83563
A000000037,SUV,Tesla,2024,97873
A000000038,Electric,Chevrolet,2010,55027
A000000039,Van,Hyundai,1997,88556
A000000040,Sports Car,Honda,2021,92697
A000000041,SUV,Ford,2011,78563
A000000042,Pickup,Honda,2000,93815
A000000043,Hybrid,Audi,1992,67389
A000000044,Sports Car,Toyota,1999,91611
A000000045,Coupe,Ford,2012,78837
A000000046,Convertible,Honda,2020,83563
A000000047,SUV,Tesla,2024,97873
A000000048,Electric,Chevrolet,2010,55027
A000000049,Van,Hyundai,1997,88556
A000000050,Sports Car,Honda,2021,92697
A000000051,SUV,Ford,2011,78563
A000000052,Pickup,Honda,2000,93815
A000000053,Hybrid,Audi,1992,67389
A000000054,Sports Car,Toyota,1999,91611
A000000055,Coupe,Ford,2012,78837
A000000056,Convertible,Honda,2020,83563
A000000057,SUV,Tesla,2024,97873
A000000058,Electric,Chevrolet,2010,55027
A000000059,Van,Hyundai,1997,88556
A000000060,Sports Car,Honda,2021,92697
A000000061,SUV,Ford,2011,78563
A000000062,Pickup,Honda,2000,93815
A000000063,Hybrid,Audi,1992,67389
A000000064,Sports Car,Toyota,1999,91611
A000000065,Coupe,Ford,2012,78837
A000000066,Convertible,Honda,2020,83563
A000000067,SUV,Tesla,2024,97873
A000000068,Electric,Chevrolet,2010,55027
A000000069,Van,Hyundai,1997,88556
A000000070,Sports Car,Honda,2021,92697
A000000071,SUV,Ford,2011,78563
A000000072,Pickup,Honda,2000,93815
A000000073,Hybrid,Audi,1992,67389
A000000074,Sports Car,Toyota,1999,91611
A000000075,Coupe,Ford,2012,78837
A000000076,Convertible,Honda,2020,83563
A000000077,SUV,Tesla,2024,97873
A000000078,Electric,Chevrolet,2010,55027
A000000079,Van,Hyundai,1997,88556
A000000080,Sports Car,Honda,2021,92697
A000000081,SUV,Ford,2011,78563
A000000082,Pickup,Honda,2000,93815
A000000083,Hybrid,Audi,1992,67389
A000000084,Sports Car,Toyota,1999,91611
A000000085,Coupe,Ford,2012,78837
A000000086,Convertible,Honda,2020,83563
A000000087,SUV,Tesla,2024,97873
A000000088,Electric,Chevrolet,2010,55027
A000000089,Van,Hyundai,1997,88556
A000000090,Sports Car,Honda,2021,92697
A000000091,SUV,Ford,2011,78563
A000000092,Pickup,Honda,2000,93815
A000000093,Hybrid,Audi,1992,67389
A000000094,Sports Car,Toyota,1999,91611
A000000095,Coupe,Ford,2012,78837
A000000096,Convertible,Honda,2020,83563
A000000097,SUV,Tesla,2024,97873
A000000098,Electric,Chevrolet,2010,55027
A000000099,Van,Hyundai,1997,88556
A000000100,Sports Car,Honda,2021,92697
A000000101,SUV,Ford,2011,78563
A000000102,Pickup,Honda,2000,93815
A000000103,Hybrid,Audi,1992,67389
A000000104,Sports Car,Toyota,1999,91611
A000000105,Coupe,Ford,2012,78837
A000000106,Convertible,Honda,2020,83563
A000000107,SUV,Tesla,2024,97873
A000000108,Electric,Chevrolet,2010,55027
A000000109,Van,Hyundai,1997,88556
A000000110,Sports Car,Honda,2021,92697
A000000111,SUV,Ford,2011,78563
A000000112,Pickup,Honda,2000,93815
A000000113,Hybrid,Audi,1992,67389
A000000114,Sports Car,Toyota,1999,91611
A000000115,Coupe,Ford,2012,78837
A000000116,Convertible,Honda,2020,83563
A000000117,SUV,Tesla,2024,97873
A000000118,Electric,Chevrolet,2010,55027
A000000119,Van,Hyundai,1997,88556
A000000120,Sports Car,Honda,2021,92697
A000000121,SUV,Ford,2011,78563
A000000122,Pickup,Honda,2000,93815
A000000123,Hybrid,Audi,1992,67389
A000000124,Sports Car,Toyota,1999,91611
A000000125,Coupe,Ford,2012,78837
A000000126,Convertible,Honda,2020,83563
A000000127,SUV,Tesla,2024,97873
A000000128,Electric,Chevrolet,2010,55027
A000000129,Van,Hyundai,1997,88556
A000000130,Sports Car,Honda,2021,92697
A000000131,SUV,Ford,2011,78563
A000000132,Pickup,Honda,2000,93815
A000000133,Hybrid,Audi,1992,67389
A000000134,Sports Car,Toyota,1999,91611
A000000135,Coupe,Ford,2012,78837
A000000136,Convertible,Honda,2020,83563
A000000137,SUV,Tesla,2024,97873
A000000138,Electric,Chevrolet,2010,55027
A000000139,Van,Hyundai,1997,88556
A000000140,Sports Car,Honda,2021,92697
A000000141,SUV,Ford,2011,78563
A000000142,Pickup,Honda,2000,93815
A000000143,Hybrid,Audi,1992,67389
A000000144,Sports Car,Toyota,1999,91611
A000000145,Coupe,Ford,2012,78837
A000000146,Convertible,Honda,2020,83563
A000000147,SUV,Tesla,2024,97873
A000000148,Electric,Chevrolet,2010,55027
A000000149,Van,Hyundai,1997,88556
A000000150,Sports Car,Honda,2021,92697
A000000151,SUV,Ford,2011,78563
A000000152,Pickup,Honda,2000,93815
A000000153,Hybrid,Audi,1992,67389
A000000154,Sports Car,Toyota,1999,91611
A000000155,Coupe,Ford,2012,78837
A000000156,Convertible,Honda,2020,83563
A000000157,SUV,Tesla,2024,97873
A000000158,Electric,Chevrolet,2010,55027
A000000159,Van,Hyundai,1997,88556
A000000160,Sports Car,Honda,2021,92697
A000000161,SUV,Ford,2011,78563
A000000162,Pickup,Honda,2000,93815
A000000163,Hybrid,Audi,1992,67389
A000000164,Sports Car,Toyota,1999,91611
A000000165,Coupe,Ford,2012,78837
A000000166,Convertible,Honda,2020,83563
A000000167,SUV,Tesla,2024,97873
A000000168,Electric,Chevrolet,2010,55027
A000000169,Van,Hyundai,1997,88556
